RANK,FULL_NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
31,Anthony Tolliver,Det,PF,32,79,22.2,46.3,14.8,0.099,131,0.802,107,0.561,365,0.436,0.632,0.663,8.9,3.1,7.6,1.1,7.5,0.41,0.27,0.73,5.6,125.9,103.2
32,Antonio Blakeney,Chi,SG,21,19,16.5,34.4,23.7,0.064,39,0.769,91,0.418,52,0.288,0.423,0.471,7.9,1.7,5.6,1.1,10.1,0.37,0.05,0.58,5.9,96.4,109.6
33,Antonius Cleveland,Dal,SG,23,13,6.2,13,10,0.113,4,0.5,13,0.308,1,0,0.286,0.317,0.8,0.8,6.9,0.2,3.3,0.46,0.31,0.15,3.3,70.7,95.6
34,Antonius Cleveland,Atl,SG,23,4,10.4,21.6,13.6,0.388,2,1,4,0.25,3,1,0.786,0.825,3.3,1,5.4,0,0,0.25,0.25,1.25,0,90.7,84.6
35,Aron Baynes,Bos,C,31,81,18.3,38.2,16.9,0.143,78,0.756,425,0.487,21,0.143,0.474,0.502,6,5.3,16,1.1,9.6,0.27,0.63,0.99,7.1,103.2,91.8
36,Arron Afflalo,Orl,SG,32,53,12.9,26.8,12.5,0.108,26,0.846,92,0.413,70,0.386,0.485,0.516,3.4,1.2,5.3,0.6,6.2,0.08,0.17,0.4,4.2,98.8,108.1
37,Austin Rivers,Lac,SG,25,61,33.7,70.2,20.7,0.111,159,0.642,445,0.461,360,0.378,0.508,0.526,15.1,2.4,3.9,4,17.5,1.21,0.26,1.79,6.2,105.5,107.7
38,Avery Bradley,Det,SG,27,40,31.7,66.1,24.4,0.133,80,0.763,376,0.423,194,0.381,0.474,0.497,15,2.4,4.1,2.1,10.5,1.15,0.18,2.33,5.3,92.4,105.5
39,Avery Bradley,Lac,SG,27,6,27.5,57.3,16.7,0.125,2,1,46,0.543,9,0.111,0.482,0.492,9.2,3.7,7.3,1.8,9.8,0.83,0.17,1.33,5.7,95.6,106.5
40,Bam Adebayo,Mia,PF,20,69,19.8,41.3,15.9,0.136,179,0.721,333,0.523,7,0,0.512,0.57,6.9,5.5,15.6,1.5,11,0.46,0.59,0.96,7.8,116.7,98.3
41,Ben McLemore,Mem,SG,24,56,19.5,40.6,19,0.132,64,0.828,214,0.477,159,0.346,0.495,0.526,7.5,2.5,7.4,0.9,7.5,0.68,0.27,1.09,5.3,98.9,101.9
42,Ben Moore,Ind,PF,22,2,4.7,9.7,0,,0,0,0,0,0,0,,,0,0.5,6.1,0.5,12.7,0,0,0,0,,66.8
43,Ben Simmons,Phi,PG,21,81,33.7,70.3,22.3,0.195,341,0.56,987,0.551,11,0,0.545,0.557,15.8,8.1,13,8.2,37.4,1.73,0.86,3.43,12.1,110.5,98.7
44,Bismack Biyombo,Orl,C,25,82,18.2,38,14.9,0.166,157,0.65,351,0.521,1,0,0.52,0.556,5.7,5.7,17.2,0.8,6.5,0.26,1.16,1.02,6.5,108.7,101.2
45,Blake Griffin,Lac,PF,28,33,34.5,71.9,29.3,0.128,219,0.785,391,0.488,187,0.342,0.497,0.553,22.6,7.9,12.6,5.4,25.6,0.91,0.27,3,11.5,110.1,105
46,Blake Griffin,Det,PF,28,25,33.2,69.3,28.4,0.124,111,0.784,283,0.473,135,0.348,0.489,0.531,19.8,6.6,11,6.2,31.5,0.44,0.36,2.64,11.2,108.2,102.9
47,Boban Marjanovic,Det,C,29,19,9,18.8,31.2,0.182,45,0.8,79,0.519,0,0,0.519,0.597,6.2,3,18.4,0.7,14.3,0.21,0.32,1.16,10.5,107.1,90
