RANK,FULL_NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
130,Demetrius Jackson,Hou,PG,23,12,5.2,10.8,17,0.417,0,0,8,0.5,6,0,0.286,0.286,0.7,0.9,9.9,0.4,10.8,0.33,0.08,0.83,4.9,55.5,97.6
131,Demetrius Jackson,Phi,PG,23,3,5.8,12.1,14.4,0.17,2,0.5,3,0.667,1,1,0.875,0.82,2.7,0.3,3.1,1.3,34.1,0.33,0,0.33,7,150,105.9
132,Dennis Schroder,Atl,PG,24,67,31,64.6,30.4,0.127,265,0.849,884,0.48,262,0.29,0.469,0.515,19.4,3.1,5.6,6.2,36.3,1.07,0.09,2.73,9.3,104.2,108
133,Dennis Smith Jr.,Dal,PG,20,69,29.7,61.9,28.9,0.149,193,0.694,685,0.435,339,0.313,0.446,0.473,15.2,3.8,7,5.2,29.5,1.03,0.26,2.81,9,93.7,105.3
134,Denzel Valentine,Chi,SG,24,77,27.2,56.7,17.5,0.118,51,0.745,351,0.45,370,0.386,0.517,0.527,10.2,5.1,10.1,3.2,17.8,0.84,0.14,1.29,8.1,104.6,104.2
135,Derrick Favors,Uta,PF,26,77,28,58.3,18.5,0.099,215,0.651,639,0.596,63,0.222,0.573,0.593,12.3,7.2,14.6,1.3,7.8,0.7,1.06,1.14,6.9,119.2,99.1
136,Derrick Jones Jr.,Pho,SF,20,6,5.5,11.5,9.8,0.131,6,0.833,2,1,2,0,0.5,0.678,1.5,0.7,6.5,0.5,12.3,0.17,0.67,0.17,5.9,140.6,111.8
137,Derrick Jones Jr.,Mia,SF,20,14,15.2,31.6,13.3,0.095,18,0.611,33,0.485,16,0.188,0.418,0.457,3.7,2.4,9,0.4,4,0.21,0.64,0.43,4,103.1,102
138,Derrick Rose,Cle,PG,29,16,19.2,40.1,25.6,0.157,41,0.854,108,0.481,24,0.25,0.462,0.523,9.8,1.8,5.3,1.6,13,0.19,0.25,1.75,6.3,97.6,112.9
139,Derrick Rose,Min,PG,29,9,12.4,25.8,25,0.111,5,1,48,0.458,6,0.167,0.435,0.463,5.8,0.7,3.1,1.2,15.3,0.44,0,0.78,5.5,94.1,115.1
140,Derrick Walton Jr.,Mia,PG,22,16,9.2,19.2,9,0.067,6,1,8,0.125,17,0.412,0.46,0.525,1.8,1,6.1,1,14.6,0.44,0.19,0.13,5.3,123.2,105.6
141,Derrick White,San,PG,23,17,8.2,17,15.4,0.126,20,0.7,20,0.4,13,0.615,0.606,0.646,3.2,1.5,10.4,0.5,9.3,0.24,0.18,0.35,6.5,123,101.8
142,Derrick Williams,Lal,SF,26,2,4.3,8.9,20,0,0,0,2,0.5,2,0,0.25,0.25,1,0.5,6.3,0,0,0,0,0,0,55.2,114.2
143,Devin Booker,Pho,SG,21,54,34.5,72,31.7,0.139,328,0.878,670,0.46,384,0.383,0.501,0.561,24.9,4.5,7,4.7,24.4,0.87,0.26,3.59,9.4,105.5,107.7
144,Devin Harris,Dal,PG,34,44,18.3,38.2,21.6,0.128,112,0.83,159,0.465,125,0.352,0.493,0.56,8.5,1.9,5.9,1.9,16.4,0.75,0.18,1.11,6.8,107.2,99
145,Devin Harris,Den,PG,34,27,19.7,41.1,18.2,0.121,58,0.845,68,0.5,102,0.343,0.509,0.568,8.2,1.6,4.4,2.5,17.7,0.56,0.15,1,6.5,114.9,104.7
146,Devin Robinson,Was,SF,22,1,13.2,27.5,10,0,0,0,3,0.333,0,0,0.333,0.333,2,5,21.4,0,0,1,0,0,0,103.4,90.4
147,Dewayne Dedmon,Atl,C,28,62,24.9,51.8,17,0.143,86,0.779,336,0.595,141,0.355,0.577,0.599,10,7.9,17.7,1.5,9.2,0.65,0.82,1.39,7.9,111.8,99.6
148,Deyonta Davis,Mem,C,21,62,15.2,31.7,15.3,0.097,57,0.667,265,0.608,0,0,0.608,0.621,5.8,4,15.3,0.6,7.1,0.24,0.63,0.5,6.3,122.4,99.7
149,Dillon Brooks,Mem,SF,22,82,28.7,59.7,18.5,0.128,166,0.747,508,0.484,264,0.356,0.501,0.531,11,3.1,6.3,1.6,9.3,0.89,0.21,1.51,5.3,100.5,105.8
150,Dion Waiters,Mia,SG,26,30,30.6,63.7,25,0.137,69,0.739,240,0.463,170,0.306,0.461,0.487,14.3,2.6,4.7,3.8,19.8,0.77,0.3,2.33,6.8,94.7,105.5
151,Dirk Nowitzki,Dal,PF,39,77,24.7,51.4,20.5,0.06,108,0.898,421,0.494,337,0.409,0.547,0.575,12,5.7,12.8,1.6,10.4,0.56,0.58,0.66,7.7,112.5,102.8
152,Domantas Sabonis,Ind,PF,21,74,24.5,51,22.1,0.153,224,0.75,624,0.524,37,0.351,0.524,0.567,11.6,7.7,17.8,2,12.7,0.54,0.43,1.85,9.2,110.4,96.6
153,Donovan Mitchell,Uta,SG,21,79,33.4,69.6,29.1,0.126,297,0.805,812,0.502,550,0.34,0.506,0.541,20.5,3.7,6.4,3.7,19.4,1.49,0.34,2.73,7.8,103.3,99.3
154,Dorian Finney-Smith,Dal,PF,24,21,21.3,44.5,15.1,0.141,15,0.733,54,0.481,67,0.299,0.463,0.482,5.9,3.6,9.3,1.2,8.4,0.48,0.19,1,5.5,96.2,103.3
155,Doug McDermott,Nyk,SF,26,55,21.3,44.4,14.4,0.088,53,0.755,191,0.513,137,0.387,0.541,0.562,7.2,2.4,6.3,0.9,6,0.18,0.22,0.62,4.7,111.3,111
156,Doug McDermott,Dal,SF,26,26,22.9,47.8,16.3,0.103,28,0.857,101,0.465,79,0.494,0.586,0.611,9,2.5,6.1,1.1,7.5,0.35,0.15,0.85,5.1,112,105.9
157,Dragan Bender,Pho,PF,20,82,25.2,52.6,12.7,0.181,51,0.765,162,0.426,322,0.366,0.508,0.524,6.5,4.4,9.3,1.6,8.9,0.27,0.65,1.37,5.7,95.6,108.5
158,Draymond Green,Gol,PF,27,70,32.7,68.1,17.2,0.225,173,0.775,363,0.562,256,0.301,0.516,0.556,11,7.6,13.1,7.3,29,1.34,1.3,2.89,10.4,110,101.4
159,Dwayne Bacon,Cha,SG,22,53,13.5,28,13.7,0.102,25,0.8,149,0.409,43,0.256,0.404,0.431,3.3,2.3,9.4,0.7,7.5,0.3,0.04,0.43,5.2,87.9,104
160,Dwight Buycks,Det,PG,28,29,14.7,30.7,26.4,0.153,41,0.878,153,0.438,45,0.333,0.452,0.498,7.4,1.4,5.3,2,22.3,0.66,0.07,1.34,7.5,97.3,101.6
161,Dwight Howard,Cha,C,32,81,30.4,63.4,24.2,0.151,582,0.574,904,0.559,7,0.143,0.556,0.577,16.6,12.5,22.2,1.3,7.1,0.59,1.62,2.57,8.5,108.2,97.2
162,Dwight Powell,Dal,C,26,79,21.2,44.1,15.5,0.103,185,0.719,346,0.656,84,0.333,0.626,0.656,8.5,5.6,14.7,1.2,8.5,0.85,0.41,0.75,7.3,129.8,98.5
163,Dwyane Wade,Cle,SG,36,46,23.2,48.4,24.3,0.157,134,0.701,365,0.479,70,0.329,0.482,0.519,11.2,3.9,9.5,3.5,23.3,0.91,0.7,2,9.2,102.5,105.7
164,Dwyane Wade,Mia,SG,36,21,22.3,46.4,30.6,0.15,55,0.745,206,0.447,41,0.22,0.427,0.465,12,3.4,8.5,3.1,23.9,0.9,0.71,2.29,9,90.6,100.7
165,Ed Davis,Por,PF,28,78,18.9,39.3,12.2,0.162,111,0.667,291,0.584,1,0,0.582,0.607,5.3,7.4,21.3,0.5,3.9,0.41,0.67,0.85,5.7,121.3,93
166,Edmond Sumner,Ind,PG,22,1,2.2,4.6,20.3,0,0,0,1,1,0,0,1,1,2,1,25.7,0,0,0,0,0,0,,
167,Ekpe Udoh,Uta,PF,30,63,12.9,26.8,9.1,0.121,56,0.75,119,0.504,1,0,0.5,0.56,2.6,2.4,10.5,0.8,9.1,0.68,1.17,0.32,5.3,126.5,92.9
168,Elfrid Payton,Orl,PG,23,44,28.6,59.5,21.8,0.183,114,0.632,391,0.545,67,0.373,0.547,0.564,13,4,7.6,6.3,35.4,1.45,0.36,2.59,9.6,109.3,105.7
169,Elfrid Payton,Pho,PG,23,19,29,60.4,22.1,0.188,54,0.685,184,0.467,25,0.2,0.447,0.481,11.8,5.3,9.7,6.2,33.7,1,0.32,2.84,10.1,97.5,106.1
170,Emeka Okafor,Nor,C,35,26,13.6,28.3,14.4,0.11,22,0.818,95,0.505,0,0,0.505,0.545,4.4,4.6,18.4,0.3,3.1,0.31,0.96,0.5,5.4,116.8,101.9
171,Emmanuel Mudiay,Den,PG,21,42,17.9,37.3,24.8,0.168,78,0.808,220,0.414,102,0.373,0.46,0.504,8.5,2.2,7,2.9,24.1,0.5,0.1,1.71,8.5,99.5,108.6
172,Emmanuel Mudiay,Nyk,PG,21,22,22.4,46.6,23.7,0.153,51,0.686,158,0.418,46,0.196,0.39,0.428,8.8,2.6,6.5,3.9,25.1,0.91,0.32,1.86,8,90.3,108.1
173,Enes Kanter,Nyk,C,25,71,25.8,53.7,21.9,0.133,184,0.848,711,0.594,2,0,0.592,0.63,14.1,11,23.6,1.5,9.4,0.51,0.52,1.72,9.5,122.1,99.8
174,Eric Bledsoe,Pho,PG,28,3,27.6,57.5,28.8,0.178,14,0.786,27,0.444,13,0.308,0.45,0.509,15.7,2.3,4.5,3,17.9,1.33,0.67,3.33,6.9,93.8,110
175,Eric Bledsoe,Mil,PG,28,71,31.5,65.7,26,0.16,304,0.793,602,0.55,347,0.349,0.54,0.585,17.8,3.9,7.2,5.1,26,2.04,0.56,2.9,9,109.3,104.7
176,Eric Gordon,Hou,SG,29,69,31.2,65,24.7,0.109,241,0.809,361,0.546,608,0.359,0.541,0.578,18,2.4,4.4,2.2,11.7,0.65,0.38,1.9,5.9,109.6,105.9
177,Eric Moreland,Det,PF,26,67,12,25,9.7,0.238,29,0.379,122,0.541,0,0,0.541,0.531,2.1,4.1,19.1,1.2,13.3,0.46,0.76,0.63,7.3,111.6,91.1
178,Erik McCree,Uta,SF,24,4,1.9,3.9,18,0.333,0,0,1,0,1,0,0,0,0,0.3,7.6,0,0,0.25,0,0.25,0,,
179,Ersan Ilyasova,Atl,PF,30,46,25.6,53.2,18,0.089,90,0.8,231,0.532,170,0.359,0.535,0.569,10.9,5.5,11.9,1.1,6.8,0.96,0.37,0.93,6.3,113.1,104.9
180,Ersan Ilyasova,Phi,PG,30,23,24.1,50.2,20.1,0.111,45,0.733,129,0.488,83,0.361,0.509,0.537,10.8,6.7,15,1.7,10.4,0.74,0.43,1.26,8.3,108.8,95.3
181,E'Twaun Moore,Nor,SG,28,82,31.5,65.7,16.1,0.106,68,0.706,531,0.556,301,0.425,0.585,0.593,12.5,2.9,5,2.3,10.1,0.94,0.13,1.24,5.5,111.6,107
182,Evan Fournier,Orl,SG,25,57,32.2,67.1,23.3,0.098,173,0.867,467,0.516,335,0.379,0.538,0.577,17.8,3.2,5.4,2.9,14.8,0.82,0.28,1.67,6.8,110.2,107.9
183,Evan Turner,Por,SG,29,79,25.7,53.6,15.6,0.137,107,0.85,445,0.485,132,0.318,0.484,0.52,8.2,3.1,6.5,2.2,12.4,0.59,0.37,1.25,6,102.9,102.7
184,Frank Kaminsky,Cha,C,24,79,23.2,48.4,20.5,0.076,194,0.799,442,0.459,274,0.38,0.501,0.545,11.1,3.6,8.5,1.6,11,0.46,0.25,0.84,6.9,110.6,106.3
185,Frank Mason,Sac,PG,23,52,18.9,39.4,22.6,0.131,115,0.817,294,0.384,86,0.36,0.42,0.48,7.9,2.5,7.5,2.8,22.7,0.65,0.19,1.25,8.1,100.2,108.1
186,Frank Ntilikina,Nyk,PG,19,78,21.9,45.6,16.9,0.198,68,0.721,343,0.385,157,0.318,0.414,0.437,5.9,2.3,5.8,3.2,20,0.85,0.23,1.68,6.4,89.2,104.2
187,Fred VanVleet,Tor,PG,23,76,20,41.7,19.1,0.112,101,0.832,284,0.437,261,0.414,0.525,0.556,8.6,2.4,6.8,3.2,22.8,0.89,0.25,0.97,8.1,115.5,101.2
188,Furkan Korkmaz,Phi,SG,20,14,5.7,11.9,17,0.063,4,0.5,11,0.273,17,0.294,0.375,0.386,1.6,0.8,7.4,0.3,6.7,0.14,0.07,0.14,5.1,86,94.5
189,Garrett Temple,Sac,SG,31,65,24.8,51.8,16.4,0.134,78,0.769,249,0.442,227,0.392,0.512,0.536,8.4,2.3,5.4,1.9,11.3,0.88,0.42,1.22,5.4,102.1,107.4
190,Gary Harris,Den,SG,23,67,34.4,71.7,20.7,0.108,162,0.827,514,0.553,394,0.396,0.57,0.597,17.5,2.6,4.3,2.9,13,1.82,0.22,1.78,5.9,114.5,109.3
191,Gary Payton II,Mil,PG,25,12,8.8,18.4,15.9,0.08,3,0.667,21,0.524,12,0.167,0.424,0.437,2.5,1.4,9.4,0.8,12.2,0.25,0.08,0.25,6.4,97.2,97.3
192,Gary Payton II,Lal,PG,25,11,10.5,21.8,17.5,0.084,6,0.167,28,0.464,13,0.308,0.463,0.447,3.5,2.5,12.5,1.1,15.1,0.36,0.18,0.36,8.1,101.4,99.1
193,George Hill,Sac,PG,31,43,26.6,55.4,16.9,0.14,99,0.778,198,0.48,128,0.453,0.558,0.597,10.3,2.7,5.8,2.8,15.5,0.91,0.28,1.4,6.4,113.7,109.6
194,George Hill,Cle,PG,31,24,27.9,58.1,15.4,0.12,41,0.805,110,0.509,77,0.351,0.516,0.551,9.4,2.6,5.3,2.8,14,0.96,0.58,1.17,5.9,112.1,107.8
195,Georges Niang,Uta,PF,24,9,3.5,7.3,21.1,0.202,2,0.5,7,0.571,4,0,0.364,0.379,1,1,16.1,0.3,14.2,0.22,0,0.33,7.7,,
196,Georgios Papagiannis,Sac,C,20,16,7.4,15.4,18.7,0.163,0,0,41,0.415,0,0,0.415,0.415,2.1,2.3,17.4,0.6,11.6,0.13,0.38,0.5,7.7,88.6,102.8
197,Georgios Papagiannis,Por,C,20,1,3.7,7.7,11.9,0,0,0,1,1,0,0,1,1,2,1,14.7,0,0,2,0,0,0,,
198,Gerald Green,Hou,SG,32,41,22.7,47.2,22.3,0.066,60,0.85,115,0.504,298,0.369,0.54,0.566,12.1,3.2,8,0.6,4.3,0.59,0.37,0.76,5,109.1,99.9
199,Gian Clavell,Dal,SG,24,7,9.1,18.9,15,0.096,2,1,3,0,15,0.4,0.5,0.53,2.9,1,6.1,0.4,6.8,0.29,0,0.29,4.6,102.6,99.9
200,Giannis Antetokounmpo,Mil,PF,23,75,36.8,76.6,31.2,0.117,641,0.76,1262,0.554,140,0.307,0.545,0.598,26.9,10,16,4.8,23.7,1.45,1.41,2.97,11.8,116.6,102.3
201,Glenn Robinson III,Ind,SG,24,23,14.7,30.6,12.5,0.053,11,0.818,51,0.431,34,0.412,0.506,0.529,4.1,1.6,6.2,0.7,6.8,0.57,0.04,0.22,4.5,114.3,109
202,Goran Dragic,Mia,PG,31,75,31.7,66,25.7,0.122,271,0.801,775,0.481,300,0.37,0.502,0.543,17.3,4.1,7.2,4.8,25.4,0.84,0.16,2.21,8.8,108.3,103.5
203,Gordon Hayward,Bos,SF,27,1,5.3,11,16.9,0,0,0,1,1,1,0,0.5,0.5,2,1,10.3,0,0,0,0,0,0,99.3,87.3
204,Gorgui Dieng,Min,PF,28,79,16.9,35.1,16.3,0.12,102,0.775,327,0.511,61,0.311,0.504,0.543,5.9,4.6,15.6,0.9,7.5,0.57,0.49,0.75,6.9,111.8,100.5
205,Greg Monroe,Mil,C,27,5,15.9,33.1,23.2,0.147,4,0.5,33,0.485,0,0,0.485,0.489,6.8,5,18.4,1,10.2,0,0,1.2,8.1,94.1,103.7
206,Greg Monroe,Pho,C,27,20,23.3,48.4,19.6,0.186,46,0.674,155,0.626,0,0,0.626,0.642,11.3,8,18.4,2.5,18.2,0.8,0.3,2,10.5,117,104.3
207,Greg Monroe,Bos,C,27,26,19.1,39.8,25,0.177,69,0.797,198,0.53,0,0,0.53,0.58,10.2,6.3,18.2,2.3,20.4,1.08,0.69,1.88,11.1,110.8,92.8
208,Guerschon Yabusele,Bos,PF,22,33,7.1,14.8,15.7,0.145,22,0.682,24,0.583,37,0.324,0.525,0.559,2.4,1.6,12.1,0.5,10,0.12,0.15,0.36,7,111.6,97.5
209,Harrison Barnes,Dal,SF,25,77,34.2,71.3,25.2,0.081,313,0.827,874,0.478,333,0.357,0.494,0.54,18.9,6.1,9.9,2,9.8,0.64,0.18,1.53,7.2,105.7,109.6
210,Hassan Whiteside,Mia,C,28,54,25.3,52.6,24.7,0.123,182,0.703,576,0.538,2,1,0.542,0.573,14,11.4,25.4,1,6.9,0.69,1.74,1.7,8.6,111.8,94.7
211,Henry Ellenson,Det,PF,21,38,8.7,18,23.8,0.102,29,0.862,86,0.384,60,0.333,0.432,0.476,4,2.1,13.6,0.5,9.4,0.13,0,0.47,7.4,95.4,102.2
212,Ian Clark,Nor,SG,26,74,19.7,40.9,17.2,0.099,59,0.763,300,0.533,195,0.318,0.511,0.529,7.4,1.7,4.7,1.5,10.4,0.45,0.14,0.77,5.4,101.8,105.9
213,Ian Mahinmi,Was,C,31,77,14.9,31,15.6,0.247,128,0.703,246,0.561,2,0,0.556,0.601,4.8,4.1,15.4,0.7,6.6,0.49,0.55,1.3,6.4,106.9,89.5
214,Ike Anigbogu,Ind,C,19,11,2.7,5.6,20.4,0.147,6,0.833,9,0.444,0,0,0.444,0.558,1.2,0.8,17,0,0,0.09,0.27,0.18,0,,
215,Iman Shumpert,Cle,SG,27,14,19.7,41.1,13.1,0.208,15,0.733,32,0.469,26,0.269,0.44,0.48,4.4,2.9,8.3,1.2,8.1,0.64,0.29,1.21,5,89.7,106.3
216,Isaiah Canaan,Hou,SG,26,1,4,8.3,11,0,0,0,1,0,0,0,0,0,0,1,14.1,0,0,0,0,0,0,0,108.5
217,Isaiah Canaan,Pho,SG,26,19,22,45.8,19,0.155,51,0.902,70,0.429,66,0.333,0.463,0.543,9.1,2.3,5.6,4,26.9,0.84,0.05,1.53,8,110.3,108
218,Isaiah Hicks,Nyk,PF,23,18,13.3,27.7,17.5,0.167,18,0.667,63,0.492,9,0.222,0.472,0.501,4.4,2.3,9.5,0.9,9.5,0.11,0.22,0.89,6.3,95.1,95.2
219,Isaiah Taylor,Atl,PG,23,67,17.4,36.3,20.1,0.157,141,0.702,310,0.461,80,0.25,0.444,0.492,6.6,1.4,4.5,3.1,27,0.51,0.15,1.25,7,101.3,105.6
220,Isaiah Thomas,Cle,PG,28,15,27.1,56.4,28.9,0.155,68,0.868,107,0.449,87,0.253,0.418,0.493,14.7,2.1,4.3,4.5,25.1,0.6,0.13,2.73,7.6,98,110.6
221,Isaiah Thomas,Lal,PG,28,17,26.8,55.9,28.7,0.175,63,0.921,126,0.429,101,0.327,0.456,0.52,15.6,2.1,4.2,5,28.8,0.35,0.06,3.18,8.2,100.3,107.4
222,Isaiah Whitehead,Bro,PG,22,16,11.2,23.4,28.5,0.203,19,0.684,68,0.485,18,0.389,0.506,0.53,6.3,1.6,7.7,1.3,19.6,0.5,0.13,1.5,8.4,90.5,100
223,Ish Smith,Det,PG,29,82,24.9,51.9,20.8,0.112,116,0.698,700,0.506,101,0.347,0.507,0.525,10.9,2.7,6.1,4.4,28.5,0.78,0.24,1.32,8.1,109.3,104.2
224,Ivan Rabb,Mem,PF,20,36,14.3,29.8,17.7,0.173,36,0.806,152,0.566,0,0,0.566,0.599,5.6,4.4,17.7,0.9,10.4,0.33,0.36,0.97,7.9,112.5,101.8
225,Ivica Zubac,Lal,C,20,43,9.5,19.9,17.6,0.153,51,0.765,121,0.504,1,0,0.5,0.557,3.7,2.8,15.8,0.6,8.8,0.19,0.35,0.6,7.7,111.1,98.9
226,J.J. Barea,Dal,PG,33,69,23.2,48.4,24.9,0.163,102,0.784,377,0.499,313,0.367,0.522,0.545,11.6,2.9,7,6.3,45.1,0.51,0.04,2.07,10.3,109.1,108.5
227,Jabari Bird,Bos,SG,23,13,8.8,18.3,15.5,0.201,13,0.462,19,0.632,7,0.429,0.635,0.615,3,1.5,9.1,0.6,10.6,0.23,0.08,0.62,6.3,107.7,102
228,Jabari Parker,Mil,SF,22,31,24,49.9,24.4,0.112,54,0.741,251,0.514,81,0.383,0.529,0.55,12.6,4.8,11.8,1.9,13.1,0.81,0.32,1.45,8.1,106.4,106.7
229,Jack Cooley,Sac,F,26,7,12.5,26,19.7,0.078,19,0.737,27,0.481,0,0,0.481,0.566,5.7,4.3,19.6,0.9,10.5,0.14,0,0.43,9,126,98.3
230,Jacob Pullen,Phi,PG,28,3,2,4.2,21,0.333,0,0,1,1,1,0,0.5,0.5,0.7,0,0,0,0,0,0,0.33,0,,
231,Jacob Wiley,Bro,SF,23,5,6.7,13.9,6.3,0,2,0.5,2,0,2,0.5,0.375,0.41,0.8,2.2,17.5,0.4,7.9,0.2,0,0,5.3,119.4,97.7
232,Jae Crowder,Cle,SF,27,53,25.4,52.9,15.1,0.092,92,0.848,187,0.508,189,0.328,0.5,0.545,8.6,3.3,7.2,1.1,6,0.77,0.23,0.79,5,109.2,105.7
233,Jae Crowder,Uta,PG,27,27,27.6,57.4,21.3,0.091,56,0.768,143,0.462,152,0.316,0.468,0.499,11.8,3.8,7.8,1.5,8.6,0.85,0.33,1.19,5.9,99.3,99.2
234,Jahlil Okafor,Phi,C,22,2,12.7,26.4,23.2,0.218,4,0.5,9,0.444,0,0,0.444,0.465,5,4.5,19.1,0.5,5.7,0,1,1.5,7.1,88.9,79.6
235,Jahlil Okafor,Bro,C,22,26,12.6,26.2,20.9,0.114,25,0.76,125,0.576,4,0.25,0.57,0.593,6.4,2.9,12.3,0.4,5.9,0.12,0.62,0.69,6.2,108.5,99.7
236,JaKarr Sampson,Sac,SF,24,22,15.6,32.6,12.5,0.083,16,0.625,71,0.549,10,0.5,0.574,0.585,4.7,3.5,12.9,0.4,3.9,0.36,1,0.36,4.8,117.7,98.9
237,Jake Layman,Por,SF,23,34,4.7,9.8,14.6,0.094,3,0.667,27,0.37,20,0.2,0.34,0.352,1,0.5,5.4,0.3,9.4,0.18,0.12,0.15,4.5,81.5,102.5
238,Jakob Poeltl,Tor,C,22,82,18.6,38.7,14.8,0.166,101,0.594,382,0.66,2,0.5,0.66,0.662,6.9,4.8,14.4,0.7,5.4,0.48,1.22,1.04,6.1,122.6,95
239,Jalen Jones,Nor,SF,24,4,4.8,10.1,10.9,0,2,1,3,0,1,1,0.375,0.512,1.3,0.8,8.4,0,0,0,0,0,0,110.5,102.8
240,Jalen Jones,Dal,SF,24,12,13.5,28.1,22,0.102,17,0.588,38,0.421,25,0.36,0.468,0.49,5.8,2.9,12,0.3,3.9,0.42,0.08,0.67,5.1,97.4,99.1
241,Jamal Crawford,Min,SG,37,80,20.7,43.1,23.7,0.107,113,0.903,428,0.477,314,0.331,0.485,0.519,10.3,1.2,3.5,2.3,16.9,0.5,0.11,1.19,5.9,104.1,111.6
242,Jamal Murray,Den,SG,20,81,31.7,66,22.8,0.127,253,0.905,626,0.502,436,0.378,0.529,0.576,16.7,3.7,6.5,3.4,16.4,0.98,0.35,2.11,7.5,112.5,108.3
243,Jameel Warney,Dal,PF,24,3,8.9,18.6,25.8,0.066,5,0.6,12,0.583,0,0,0.583,0.599,5.7,3,18.6,0,0,0,0,0.33,0,119.5,105.4
244,Jameer Nelson,Nor,PG,35,43,20.9,43.5,12.9,0.209,17,0.765,95,0.463,110,0.364,0.507,0.52,5.1,2.2,5.8,3.6,22.2,0.53,0.07,1.3,6.6,103.6,106.1
245,Jameer Nelson,Det,PG,35,7,16.5,34.4,19.7,0.214,3,1,25,0.4,14,0.071,0.295,0.322,3.7,1.1,3.8,3.3,27.8,0.57,0.14,1.57,5.8,75.4,99.3
246,Jamel Artis,Orl,SG,25,15,18.6,38.8,14.5,0.087,12,0.583,50,0.46,29,0.276,0.443,0.457,5.1,2.5,7.5,1.2,9.3,0.13,0.2,0.53,5.3,94.1,111.8
247,James Ennis III,Mem,SF,27,45,23.4,48.7,12.5,0.13,73,0.877,138,0.565,84,0.357,0.554,0.61,6.9,3.5,8.6,1.1,7,0.71,0.27,0.84,5.1,118.7,108.2
248,James Ennis III,Det,SF,27,27,20.4,42.5,16,0.09,43,0.767,93,0.57,69,0.304,0.522,0.558,7.5,2.5,6.7,0.8,5.9,0.56,0.22,0.67,4.8,110.9,101.7
249,James Harden,Hou,PG,28,72,35.4,73.8,36,0.151,727,0.858,727,0.531,722,0.367,0.541,0.619,30.4,5.4,8.6,8.8,45.1,1.76,0.69,4.38,12.8,120.6,101.1
250,James Johnson,Mia,PF,30,73,26.6,55.5,19.1,0.172,162,0.698,429,0.587,185,0.308,0.55,0.575,10.8,4.9,10.3,3.8,22.5,0.96,0.71,1.95,8.8,109.6,98.8
251,James Michael McAdoo,Phi,PF,25,3,6,12.5,21.1,0.113,2,1,0,0,7,0.286,0.429,0.508,2.7,0.7,6,0,0,0,0.33,0.33,0,94.1,106.4
252,James Webb III,Bro,SF,24,10,12,25,10.1,0.143,0,0,5,0.4,19,0.211,0.333,0.333,1.6,2.4,10.6,0.4,4.5,0.1,0,0.4,3.8,81,106.7
253,James Young,Phi,SG,22,6,10.2,21.2,12.3,0.057,6,0.667,4,0.5,10,0.3,0.464,0.511,2.8,0.3,1.8,0.3,4.3,0,0,0.17,2.5,105.7,107.7
254,Jamil Wilson,Lac,SF,27,15,18.3,38,14.3,0.088,4,0.5,18,0.611,63,0.429,0.636,0.634,7,2.1,6.4,0.7,5.2,0.33,0.53,0.53,4.8,117.9,101.9
255,JaMychal Green,Mem,PF,27,55,28,58.4,17.8,0.124,111,0.721,361,0.499,127,0.339,0.501,0.53,10.3,8.4,17.4,1.4,8.3,0.58,0.45,1.38,7.1,107.7,102.8
256,Jared Dudley,Pho,PF,32,48,14.3,29.8,10.2,0.169,35,0.771,42,0.452,80,0.363,0.512,0.553,3.2,1.9,7.2,1.6,15.6,0.52,0.21,0.58,6,110.5,103.2
257,Jarell Eddie,Bos,SG,26,2,2.8,5.8,8,0,0,0,0,0,1,0,0,0,0,0.5,9.8,0,0,0.5,0,0,0,,
258,Jarell Eddie,Chi,SG,26,1,3,6.3,14.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
259,Jarell Martin,Mem,PF,23,73,22.8,47.4,17.1,0.136,116,0.767,398,0.47,98,0.347,0.48,0.516,7.7,4.4,11.1,1,7,0.53,0.68,1.18,5.7,101,101.5
260,Jarrett Allen,Bro,C,19,72,20,41.7,16.3,0.151,147,0.776,382,0.599,15,0.333,0.596,0.636,8.2,5.4,14.3,0.7,5.4,0.39,1.22,1.14,6.3,119.1,102.9
261,Jarrett Jack,Nyk,PG,34,62,25,52,16.7,0.195,75,0.84,357,0.459,86,0.291,0.455,0.489,7.5,3.1,6.8,5.6,31.3,0.56,0.06,1.85,8.1,102.9,109.3
262,Jason Smith,Was,C,31,33,8.6,18,21.7,0.114,21,0.905,83,0.494,32,0.125,0.409,0.455,3.4,1.6,10.5,0.4,7.4,0.09,0.39,0.48,6,93.4,97
263,Jason Terry,Mil,SG,40,51,16,33.2,10.1,0.137,9,0.889,39,0.487,115,0.348,0.513,0.525,3.3,0.9,3.5,1.2,9.7,0.82,0.24,0.49,3.8,102.8,108.7
264,JaVale McGee,Gol,C,30,65,9.5,19.7,19.2,0.1,52,0.731,213,0.638,6,0,0.621,0.641,4.8,2.6,15.4,0.5,8,0.32,0.88,0.42,7.8,124.9,95
265,Jawun Evans,Lac,PG,21,48,16.2,33.8,17.7,0.138,49,0.776,199,0.372,54,0.278,0.381,0.421,4.8,1.8,5.9,2.1,17.8,0.75,0.13,0.92,6.5,90.5,100.6
