Date,Team,Acquired,Relinquished,Notes
3/14/18,Pacers,, Domantas Sabonis / Domas Sabonis,sprained left ankle (DTD)
3/14/18,Rockets,, Zhou Qi / Qi Zhou,rib injury (DTD)
3/15/18,Pistons, Dwight Buycks,,returned to lineup
3/15/18,Pistons, Reggie Bullock,,returned to lineup
3/16/18,76ers,, Timothe Luwawu / Timothe Luwawu-Cabarrot,patellar tendinitis in right knee (DTD)
3/16/18,Bulls,, Kris Dunn,sprained right toe (out for season)
3/16/18,Celtics,, Marcus Smart,surgery on right thumb (out indefinitely)
3/16/18,Heat, Josh Richardson,,returned to lineup
3/16/18,Lakers, Kyle Kuzma,,returned to lineup
3/16/18,Nets, Jarrett Allen,,returned to lineup
3/17/18,Bulls,, Noah Vonleh,sprained right toe (DTD)
3/17/18,Cavaliers,, Rodney Hood,strained lower back (DTD)
3/17/18,Nuggets,, Gary Harris,right knee injury (DTD)
3/17/18,Pelicans,, Rajon Rondo,rest (DTD)
3/17/18,Rockets, Ryan Anderson,,returned to lineup
3/17/18,Suns,, Devin Booker,sprained right hand (out for season)
3/17/18,Suns,, Tyson Chandler,neck injury (out for season)
3/18/18,Hornets,, Nicolas Batum,left Achilles tendinitis (DTD)
3/18/18,Pelicans, Rajon Rondo,,returned to lineup
3/18/18,Rockets, Zhou Qi / Qi Zhou,,returned to lineup
3/19/18,Bulls, Noah Vonleh,,returned to lineup
3/19/18,Cavaliers,, Tyronn Lue,took leave of absence as head coach to address health issues
3/19/18,Grizzlies,, Marc Gasol,illness (DTD)
3/19/18,Hawks,, John Collins (b),sprained left ankle (DTD)
3/19/18,Jazz,, Derrick Favors,sore left knee (DTD)
3/19/18,Kings,, Bogdan Bogdanovic,left hamstring injury (DTD)
3/19/18,Magic, Aaron Gordon,,returned to lineup
3/20/18,Magic,, Jonathon Simmons,bruised right wrist (out for season)
3/20/18,Pelicans,, Jrue Holiday,illness (DTD)
3/20/18,Raptors,, DeMar DeRozan,bruised left thigh (DTD)
3/21/18,Grizzlies,, Ivan Rabb,right heel injury (DTD)
3/21/18,Hornets,, Nicolas Batum,sore left Achilles (DTD)
3/21/18,Kings,, Garrett Temple,sprained left ankle (out for season)
3/21/18,Pelicans, Jrue Holiday,,returned to lineup
3/21/18,Raptors, DeMar DeRozan,,returned to lineup
3/21/18,Nets,, Dante Cunningham,DNP
3/22/18,Bulls,, Antonio Blakeney,fractured left wrist (out for season)
3/22/18,Grizzlies,, Andrew Harrison,right wrist injury (DTD)
3/22/18,Grizzlies, Ivan Rabb,,returned to lineup
3/22/18,Hawks,, Dennis Schroder,rest (DTD)
3/22/18,Magic,, Jonathan Isaac,sprained left foot (DTD)
3/22/18,Rockets,, Chris Paul,sore left hamstring (DTD)
3/22/18,Warriors,, Draymond Green,bruised pelvis (DTD)
3/23/18,Blazers,, Shabazz Napier,left big toe injury (DTD)
3/23/18,Celtics,, Kyrie Irving,surgery on left knee (out for season)
3/23/18,Grizzlies,, Ivan Rabb,right heel injury (DTD)
3/23/18,Hawks, Dennis Schroder,,returned to lineup
3/23/18,Hawks, John Collins (b),,returned to lineup
3/23/18,Nets, Dante Cunningham,,returned to lineup
3/23/18,Timberwolves,, Derrick Rose,sprained right ankle (DTD)
3/24/18,Grizzlies,, Chandler Parsons,sore right knee (DTD)
3/24/18,Grizzlies, Andrew Harrison,,returned to lineup
3/24/18,Lakers,, Isaiah Thomas,right hip injury (out for season)
3/24/18,Lakers,, Luol Deng,sprained left ankle (DTD)
3/24/18,Pelicans,, Nikola Mirotic,hip injury (DTD)
3/24/18,Pelicans,, Nikola Mirotic,right hip flexor injury (DTD)
3/24/18,Pelicans,, Rajon Rondo,sprained right wrist (DTD)
3/24/18,Rockets,, Luc Richard Mbah a Moute / Luc Mbah a Moute,sore left knee (DTD)
3/24/18,Warriors,, Stephen Curry,sprained MCL in left knee (out indefinitely)
3/25/18,Blazers, Shabazz Napier,,returned to lineup
3/25/18,Hawks,, Dennis Schroder,sprained left ankle (out for season)
3/25/18,Knicks,, Damyean Dotson,sprained right foot (DTD)
3/25/18,Knicks,, Kyle O'Quinn,strained left hip (DTD)
3/25/18,Warriors,, Draymond Green,flu (DTD)
3/26/18,Bulls,, Paul Zipser,sore left foot (out for season)
3/26/18,Grizzlies, Chandler Parsons,,returned to lineup
3/26/18,Knicks,, Emmanuel Mudiay,illness (DTD)
3/27/18,Heat,, Edrice Adebayo / Bam Adebayo,sprained right ankle (DTD)
3/27/18,Mavericks,, Dwight Powell,left knee injury (DTD)
3/27/18,Mavericks,, Dwight Powell,bursitis in knee (DTD)
3/27/18,Mavericks,, Nerlens Noel,rest (DTD)
3/27/18,Pelicans,, Alexis Ajinca / Alex Ajinca,surgery on left knee (out for season)
3/27/18,Pelicans,, Rajon Rondo,sprained right wrist (DTD)
3/27/18,Pelicans, Nikola Mirotic,,returned to lineup
3/27/18,Rockets,, Clint Capela,sprained left thumb (DTD)
3/27/18,Rockets, Chris Paul,,returned to lineup
3/27/18,Blazers,, Maurice Harkless,surgery on left knee (out indefinitely)
3/27/18,Warriors,, Chris Boucher,sprained left ankle (DTD)
3/28/18,76ers,, Amir Johnson,illness (DTD)
3/28/18,76ers,, Justin Anderson,sore right ankle (DTD)
3/28/18,Cavaliers,, Kevin Love,concussion (out indefinitely)
3/28/18,Celtics,, Al Horford,ankle injury (DTD)
3/28/18,Celtics,, Marcus Morris,sprained right ankle (DTD)
3/28/18,Clippers,, Milos Teodosic,plantar fascia in left foot (out for season)
3/28/18,Grizzlies,, Andrew Harrison,right wrist injury (out for season)
3/28/18,Knicks,, Courtney Lee,left foot injury (DTD)
3/28/18,Knicks, Damyean Dotson,,returned to lineup
3/28/18,Knicks, Emmanuel Mudiay,,returned to lineup
3/28/18,Lakers,, Isaiah Thomas,surgery on right hip (out for season)
