Rank,Name,Score,Age,Avg Arrow
5,METE GAZOZ ,197.5,19,9.27
19,RICARDO SOTO ,111.9,19,9.06
60,MUHAMAD ZARIF SYAHIIR ZOLKEPELI ,56.475,19,8.92
63,ALEN REMAR ,52.15,19,8.9
72,DENG YU-CHENG ,48.475,19,9.02
97,SACHIN GUPTA ,39.575,19,8.95
131,TAMIMUL ISLAM MOHAMMAD ,29.6,19,8.85
137,WANG WENXUAN ,28,19,9.13
139,MARIO DAMIAN JAJARABILLA ,27.6,19,8.61
24,JACK WILLIAMS ,101.7,18,9.24
79,TOMATSU DAISUKE ,45.4,18,9.36
103,GAURAV TRAMBAK LAMBE ,37.4,18,8.97
111,ALEX WISE ,35.5,18,8.88
120,ERDAL MERIC DAL ,33,18,8.71
144,YAN WANG ,27,18,9.27
144,KIM KANGHYUN ,27,18,9.19
144,WEI SHAOXUAN ,27,18,9.08
156,YASHDEV . ,26.125,18,8.8
177,MARCELO COSTA ,23.125,18,8.77
179,LI YEN-YU ,23,18,8.92
193,JARNO DE SMEDT ,21.5,18,8.91
41,TANG CHIH-CHUN ,72.45,17,9.19
50,QUAN SUN ,63,17,9.15
130,HO GORA ,30.325,17,8.93
178,MD IBRAHIM SHEIK REZOWAN ,23.1,17,8.67
182,ALEJANDRO BEN?TEZ ,22.8,17,8.58
199,DAMIAN VAES ,21,17,9.15
124,IVAN BANCHEV ,31.85,16,8.89
